operacao,p,q,custo_i,total_acessos,custo_medio
328,0,328,3,984,3.0
329,0,329,3,987,3.0
330,0,330,3,990,3.0
331,0,331,3,993,3.0
332,0,332,3,996,3.0
333,0,333,3,999,3.0
334,0,334,3,1002,3.0
335,0,335,3,1005,3.0
336,0,336,3,1008,3.0
337,0,337,3,1011,3.0
338,0,338,3,1014,3.0
339,0,339,3,1017,3.0
340,0,340,3,1020,3.0
341,0,341,3,1023,3.0
342,0,342,3,1026,3.0
343,0,343,3,1029,3.0
344,0,344,3,1032,3.0
345,0,345,3,1035,3.0
346,0,346,3,1038,3.0
347,0,347,3,1041,3.0
348,0,348,3,1044,3.0
349,0,349,3,1047,3.0
350,0,350,3,1050,3.0
351,0,351,3,1053,3.0
352,0,352,3,1056,3.0
353,0,353,3,1059,3.0
354,0,354,3,1062,3.0
355,0,355,3,1065,3.0
356,0,356,3,1068,3.0
357,0,357,3,1071,3.0
358,0,358,3,1074,3.0
359,0,359,3,1077,3.0
360,0,360,3,1080,3.0
361,0,361,3,1083,3.0
362,0,362,3,1086,3.0
363,0,363,3,1089,3.0
364,0,364,3,1092,3.0
365,0,365,3,1095,3.0
366,0,366,3,1098,3.0
367,0,367,3,1101,3.0
368,0,368,3,1104,3.0
369,0,369,3,1107,3.0
370,0,370,3,1110,3.0
371,0,371,3,1113,3.0
372,0,372,3,1116,3.0
373,0,373,3,1119,3.0
374,0,374,3,1122,3.0
375,0,375,3,1125,3.0
376,0,376,3,1128,3.0
377,0,377,3,1131,3.0
378,0,378,3,1134,3.0
379,0,379,3,1137,3.0
380,0,380,3,1140,3.0
381,0,381,3,1143,3.0
382,0,382,3,1146,3.0
383,0,383,3,1149,3.0
384,0,384,3,1152,3.0
385,0,385,3,1155,3.0
386,0,386,3,1158,3.0
387,0,387,3,1161,3.0
388,0,388,3,1164,3.0
389,0,389,3,1167,3.0
390,0,390,3,1170,3.0
391,0,391,3,1173,3.0
392,0,392,3,1176,3.0
393,0,393,3,1179,3.0
394,0,394,3,1182,3.0
395,0,395,3,1185,3.0
396,0,396,3,1188,3.0
397,0,397,3,1191,3.0
398,0,398,3,1194,3.0
399,0,399,3,1197,3.0
400,0,400,3,1200,3.0
401,0,401,3,1203,3.0
402,0,402,3,1206,3.0
403,0,403,3,1209,3.0
404,0,404,3,1212,3.0
405,0,405,3,1215,3.0
406,0,406,3,1218,3.0
407,0,407,3,1221,3.0
408,0,408,3,1224,3.0
409,0,409,3,1227,3.0
410,0,410,3,1230,3.0
411,0,411,3,1233,3.0
412,0,412,3,1236,3.0
413,0,413,3,1239,3.0
414,0,414,3,1242,3.0
415,0,415,3,1245,3.0
416,0,416,3,1248,3.0
417,0,417,3,1251,3.0
418,0,418,3,1254,3.0
419,0,419,3,1257,3.0
420,0,420,3,1260,3.0
421,0,421,3,1263,3.0
422,0,422,3,1266,3.0
423,0,423,3,1269,3.0
424,0,424,3,1272,3.0
425,0,425,3,1275,3.0
426,0,426,3,1278,3.0
427,0,427,3,1281,3.0
428,0,428,3,1284,3.0
429,0,429,3,1287,3.0
430,0,430,3,1290,3.0
431,0,431,3,1293,3.0
432,0,432,3,1296,3.0
433,0,433,3,1299,3.0
434,0,434,3,1302,3.0
435,0,435,3,1305,3.0
436,0,436,3,1308,3.0
437,0,437,3,1311,3.0
438,0,438,3,1314,3.0
439,0,439,3,1317,3.0
440,0,440,3,1320,3.0
441,0,441,3,1323,3.0
442,0,442,3,1326,3.0
443,0,443,3,1329,3.0
444,0,444,3,1332,3.0
445,0,445,3,1335,3.0
446,0,446,3,1338,3.0
447,0,447,3,1341,3.0
448,0,448,3,1344,3.0
449,0,449,3,1347,3.0
450,0,450,3,1350,3.0
451,0,451,3,1353,3.0
452,0,452,3,1356,3.0
453,0,453,3,1359,3.0
454,0,454,3,1362,3.0
455,0,455,3,1365,3.0
456,0,456,3,1368,3.0
457,0,457,3,1371,3.0
458,0,458,3,1374,3.0
459,0,459,3,1377,3.0
460,0,460,3,1380,3.0
461,0,461,3,1383,3.0
462,0,462,3,1386,3.0
463,0,463,3,1389,3.0
464,0,464,3,1392,3.0
465,0,465,3,1395,3.0
466,0,466,3,1398,3.0
467,0,467,3,1401,3.0
468,0,468,3,1404,3.0
469,0,469,3,1407,3.0
470,0,470,3,1410,3.0
471,0,471,3,1413,3.0
472,0,472,3,1416,3.0
473,0,473,3,1419,3.0
474,0,474,3,1422,3.0
475,0,475,3,1425,3.0
476,0,476,3,1428,3.0
477,0,477,3,1431,3.0
478,0,478,3,1434,3.0
479,0,479,3,1437,3.0
480,0,480,3,1440,3.0
481,0,481,3,1443,3.0
482,0,482,3,1446,3.0
483,0,483,3,1449,3.0
484,0,484,3,1452,3.0
485,0,485,3,1455,3.0
486,0,486,3,1458,3.0
487,0,487,3,1461,3.0
488,0,488,3,1464,3.0
489,0,489,3,1467,3.0
490,0,490,3,1470,3.0
491,0,491,3,1473,3.0
492,0,492,3,1476,3.0
493,0,493,3,1479,3.0
494,0,494,3,1482,3.0
495,0,495,3,1485,3.0
496,0,496,3,1488,3.0
497,0,497,3,1491,3.0
498,0,498,3,1494,3.0
499,0,499,3,1497,3.0
500,0,500,3,1500,3.0
501,0,501,3,1503,3.0
502,0,502,3,1506,3.0
503,0,503,3,1509,3.0
504,0,504,3,1512,3.0
505,0,505,3,1515,3.0
506,0,506,3,1518,3.0
507,0,507,3,1521,3.0
508,0,508,3,1524,3.0
509,0,509,3,1527,3.0
510,0,510,3,1530,3.0
511,0,511,3,1533,3.0
512,0,512,3,1536,3.0
513,0,513,3,1539,3.0
514,0,514,3,1542,3.0
515,0,515,3,1545,3.0
516,0,516,3,1548,3.0
517,0,517,3,1551,3.0
518,0,518,3,1554,3.0
519,0,519,3,1557,3.0
520,0,520,3,1560,3.0
521,0,521,3,1563,3.0
522,0,522,3,1566,3.0
523,0,523,3,1569,3.0
524,0,524,3,1572,3.0
525,0,525,3,1575,3.0
526,0,526,3,1578,3.0
527,0,527,3,1581,3.0
528,0,528,3,1584,3.0
529,0,529,3,1587,3.0
530,0,530,3,1590,3.0
531,0,531,3,1593,3.0
532,0,532,3,1596,3.0
533,0,533,3,1599,3.0
534,0,534,3,1602,3.0
535,0,535,3,1605,3.0
536,0,536,3,1608,3.0
