operacao,p,q,custo_i,total_acessos,custo_medio
284,400,375,628,177890,626.3732394366198
285,350,375,628,178518,626.3789473684211
286,235,236,2,178520,624.1958041958042
287,337,336,2,178522,622.0278745644599
288,616,615,628,179150,622.0486111111111
289,381,380,628,179778,622.0692041522491
290,58,59,628,180406,622.0896551724138
291,492,493,628,181034,622.1099656357388
292,555,556,628,181662,622.1301369863014
293,459,434,629,182291,622.1535836177475
294,368,369,628,182919,622.1734693877551
295,407,382,628,183547,622.193220338983
296,166,141,630,184177,622.2195945945946
297,70,95,629,184806,622.2424242424242
298,380,355,630,185436,622.2684563758389
299,34,35,632,186068,622.3010033444816
300,49,24,628,186696,622.32
301,126,127,631,187327,622.3488372093024
302,403,378,628,187955,622.3675496688742
303,509,484,633,188588,622.4026402640264
304,613,588,628,189216,622.421052631579
305,208,207,2,189218,620.3868852459017
306,143,168,629,189847,620.4150326797386
307,406,431,628,190475,620.4397394136807
308,263,238,629,191104,620.4675324675325
309,595,596,628,191732,620.4919093851132
310,218,193,630,192362,620.5225806451613
311,183,182,628,192990,620.5466237942122
312,195,220,628,193618,620.5705128205128
313,381,406,631,194249,620.6038338658147
314,64,65,628,194877,620.6273885350319
315,371,372,628,195505,620.6507936507936
316,531,506,628,196133,620.6740506329114
317,218,219,631,196764,620.7066246056783
318,144,145,631,197395,620.7389937106918
319,475,450,628,198023,620.7617554858934
320,547,548,630,198653,620.790625
321,363,362,632,199285,620.8255451713395
322,337,362,631,199916,620.8571428571429
323,214,239,628,200544,620.8792569659443
324,110,111,628,201172,620.9012345679013
325,600,575,628,201800,620.9230769230769
326,105,106,628,202428,620.9447852760736
327,147,148,636,203064,620.9908256880734
328,599,574,630,203694,621.0182926829268
329,622,623,629,204323,621.0425531914893
330,319,320,633,204956,621.0787878787879
331,36,35,643,205599,621.1450151057402
332,258,233,631,206230,621.1746987951807
333,266,267,629,206859,621.1981981981982
334,481,480,632,207491,621.2305389221557
335,414,439,638,208129,621.2805970149253
336,169,168,629,208758,621.3035714285714
337,479,478,636,209394,621.3471810089021
338,224,223,634,210028,621.3846153846154
339,181,182,629,210657,621.4070796460177
340,351,326,628,211285,621.4264705882352
341,466,441,629,211914,621.4486803519062
342,85,60,628,212542,621.46783625731
343,140,165,629,213171,621.4897959183673
344,91,90,628,213799,621.5087209302326
345,263,264,636,214435,621.5507246376811
346,188,187,629,215064,621.5722543352601
347,446,447,629,215693,621.5936599423632
348,607,606,628,216321,621.6120689655172
349,341,316,630,216951,621.6361031518625
350,143,142,640,217591,621.6885714285714
351,443,442,629,218220,621.7094017094017
352,354,353,628,218848,621.7272727272727
353,162,137,628,219476,621.7450424929178
354,281,256,630,220106,621.7683615819209
355,549,574,628,220734,621.7859154929578
356,407,408,629,221363,621.806179775281
357,575,550,629,221992,621.8263305322129
358,171,170,628,222620,621.8435754189944
359,389,388,640,223260,621.8941504178273
360,390,391,642,223902,621.95
361,250,225,636,224538,621.98891966759
362,536,537,628,225166,622.0055248618785
363,227,228,629,225795,622.0247933884298
364,84,59,631,226426,622.0494505494505
365,139,140,628,227054,622.0657534246575
366,485,484,630,227684,622.0874316939891
367,573,598,628,228312,622.1035422343324
368,356,381,630,228942,622.125
369,314,315,629,229571,622.1436314363143
370,299,324,629,230200,622.1621621621622
371,370,395,636,230836,622.199460916442
372,166,165,631,231467,622.2231182795699
373,63,62,629,232096,622.2412868632708
374,507,506,629,232725,622.25935828877
375,426,425,628,233353,622.2746666666667
376,479,454,2,233355,620.625
377,545,570,633,233988,620.657824933687
378,376,375,630,234618,620.6825396825396
379,572,597,637,235255,620.7255936675461
380,606,581,2,235257,619.0973684210526
381,278,277,630,235887,619.1259842519685
382,303,302,628,236515,619.1492146596859
383,190,165,628,237143,619.1723237597911
384,230,205,633,237776,619.2083333333334
385,175,200,637,238413,619.2545454545455
386,529,528,628,239041,619.2772020725389
387,18,17,628,239669,619.2997416020672
388,458,457,639,240308,619.3505154639175
389,514,513,632,240940,619.3830334190231
390,617,616,628,241568,619.4051282051282
391,298,323,2,241570,617.8260869565217
392,162,161,629,242199,617.8545918367347
393,471,472,629,242828,617.882951653944
394,81,56,632,243460,617.9187817258884
395,182,207,631,244091,617.9518987341772
396,539,564,629,244720,617.979797979798
397,573,572,2,244722,616.4282115869017
398,596,621,629,245351,616.4597989949749
399,64,39,630,245981,616.4937343358396
400,571,546,2,245983,614.9575
401,554,555,628,246611,614.9900249376559
402,388,363,2,246613,613.4651741293533
403,351,376,629,247242,613.5037220843673
404,304,329,628,247870,613.539603960396
405,123,122,642,248512,613.6098765432099
406,135,160,629,249141,613.6477832512315
407,157,132,628,249769,613.6830466830467
408,599,624,643,250412,613.7549019607843
409,451,426,628,251040,613.7897310513447
410,162,187,658,251698,613.8975609756097
411,502,477,637,252335,613.9537712895377
412,508,483,639,252974,614.0145631067961
413,141,140,2,252976,612.5326876513317
414,303,328,629,253605,612.572463768116
415,551,576,638,254243,612.633734939759
416,471,446,2,254245,611.1658653846154
417,161,160,662,254907,611.2877697841726
418,465,490,630,255537,611.3325358851674
419,3,2,628,256165,611.3723150357995
420,138,113,628,256793,611.4119047619048
421,309,284,630,257423,611.4560570071259
422,452,451,629,258052,611.4976303317535
423,414,413,2,258054,610.0567375886525
424,540,565,637,258691,610.1202830188679
425,210,185,633,259324,610.1741176470588
426,350,325,635,259959,610.2323943661971
427,383,382,630,260589,610.2786885245902
428,2,1,629,261218,610.3224299065421
429,598,623,644,261862,610.4009324009324
430,97,72,628,262490,610.4418604651163
431,485,460,650,263140,610.5336426914154
432,315,316,632,263772,610.5833333333334
433,19,20,628,264400,610.6235565819861
434,31,32,629,265029,610.6658986175115
435,546,521,649,265678,610.7540229885058
436,320,321,637,266315,610.8142201834862
437,29,54,629,266944,610.8558352402746
438,330,331,628,267572,610.8949771689498
439,92,67,628,268200,610.9339407744875
440,480,505,2,268202,609.55
441,274,249,630,268832,609.5963718820861
442,22,47,628,269460,609.6380090497737
443,304,279,629,270089,609.6817155756207
444,493,468,630,270719,609.7274774774775
445,424,423,628,271347,609.7685393258427
446,39,40,2,271349,608.4058295964126
447,164,165,628,271977,608.4496644295302
448,269,268,629,272606,608.4955357142857
449,445,446,629,273235,608.5412026726058
