operacao,p,q,custo_i,total_acessos,custo_medio
364,0,364,10366,3707158,10184.5
365,0,365,10367,3717525,10185.0
366,0,366,10368,3727893,10185.5
367,0,367,10369,3738262,10186.0
368,0,368,10370,3748632,10186.5
369,0,369,10371,3759003,10187.0
370,0,370,10372,3769375,10187.5
371,0,371,10373,3779748,10188.0
372,0,372,10374,3790122,10188.5
373,0,373,10375,3800497,10189.0
374,0,374,10376,3810873,10189.5
375,0,375,10377,3821250,10190.0
376,0,376,10378,3831628,10190.5
377,0,377,10379,3842007,10191.0
378,0,378,10380,3852387,10191.5
379,0,379,10381,3862768,10192.0
380,0,380,10382,3873150,10192.5
381,0,381,10383,3883533,10193.0
382,0,382,10384,3893917,10193.5
383,0,383,10385,3904302,10194.0
384,0,384,10386,3914688,10194.5
385,0,385,10387,3925075,10195.0
386,0,386,10388,3935463,10195.5
387,0,387,10389,3945852,10196.0
388,0,388,10390,3956242,10196.5
389,0,389,10391,3966633,10197.0
390,0,390,10392,3977025,10197.5
391,0,391,10393,3987418,10198.0
392,0,392,10394,3997812,10198.5
393,0,393,10395,4008207,10199.0
394,0,394,10396,4018603,10199.5
395,0,395,10397,4029000,10200.0
396,0,396,10398,4039398,10200.5
397,0,397,10399,4049797,10201.0
398,0,398,10400,4060197,10201.5
399,0,399,10401,4070598,10202.0
400,0,400,10402,4081000,10202.5
401,0,401,10403,4091403,10203.0
402,0,402,10404,4101807,10203.5
403,0,403,10405,4112212,10204.0
404,0,404,10406,4122618,10204.5
405,0,405,10407,4133025,10205.0
406,0,406,10408,4143433,10205.5
407,0,407,10409,4153842,10206.0
408,0,408,10410,4164252,10206.5
409,0,409,10411,4174663,10207.0
410,0,410,10412,4185075,10207.5
411,0,411,10413,4195488,10208.0
412,0,412,10414,4205902,10208.5
413,0,413,10415,4216317,10209.0
414,0,414,10416,4226733,10209.5
415,0,415,10417,4237150,10210.0
416,0,416,10418,4247568,10210.5
417,0,417,10419,4257987,10211.0
418,0,418,10420,4268407,10211.5
419,0,419,10421,4278828,10212.0
420,0,420,10422,4289250,10212.5
421,0,421,10423,4299673,10213.0
422,0,422,10424,4310097,10213.5
423,0,423,10425,4320522,10214.0
424,0,424,10426,4330948,10214.5
425,0,425,10427,4341375,10215.0
426,0,426,10428,4351803,10215.5
427,0,427,10429,4362232,10216.0
428,0,428,10430,4372662,10216.5
429,0,429,10431,4383093,10217.0
430,0,430,10432,4393525,10217.5
431,0,431,10433,4403958,10218.0
432,0,432,10434,4414392,10218.5
433,0,433,10435,4424827,10219.0
434,0,434,10436,4435263,10219.5
435,0,435,10437,4445700,10220.0
436,0,436,10438,4456138,10220.5
437,0,437,10439,4466577,10221.0
438,0,438,10440,4477017,10221.5
439,0,439,10441,4487458,10222.0
440,0,440,10442,4497900,10222.5
441,0,441,10443,4508343,10223.0
442,0,442,10444,4518787,10223.5
443,0,443,10445,4529232,10224.0
444,0,444,10446,4539678,10224.5
445,0,445,10447,4550125,10225.0
446,0,446,10448,4560573,10225.5
447,0,447,10449,4571022,10226.0
448,0,448,10450,4581472,10226.5
449,0,449,10451,4591923,10227.0
450,0,450,10452,4602375,10227.5
451,0,451,10453,4612828,10228.0
452,0,452,10454,4623282,10228.5
453,0,453,10455,4633737,10229.0
454,0,454,10456,4644193,10229.5
455,0,455,10457,4654650,10230.0
456,0,456,10458,4665108,10230.5
457,0,457,10459,4675567,10231.0
458,0,458,10460,4686027,10231.5
459,0,459,10461,4696488,10232.0
460,0,460,10462,4706950,10232.5
461,0,461,10463,4717413,10233.0
462,0,462,10464,4727877,10233.5
463,0,463,10465,4738342,10234.0
464,0,464,10466,4748808,10234.5
465,0,465,10467,4759275,10235.0
466,0,466,10468,4769743,10235.5
467,0,467,10469,4780212,10236.0
468,0,468,10470,4790682,10236.5
469,0,469,10471,4801153,10237.0
470,0,470,10472,4811625,10237.5
471,0,471,10473,4822098,10238.0
472,0,472,10474,4832572,10238.5
473,0,473,10475,4843047,10239.0
474,0,474,10476,4853523,10239.5
475,0,475,10477,4864000,10240.0
476,0,476,10478,4874478,10240.5
477,0,477,10479,4884957,10241.0
478,0,478,10480,4895437,10241.5
479,0,479,10481,4905918,10242.0
480,0,480,10482,4916400,10242.5
481,0,481,10483,4926883,10243.0
482,0,482,10484,4937367,10243.5
483,0,483,10485,4947852,10244.0
484,0,484,10486,4958338,10244.5
485,0,485,10487,4968825,10245.0
486,0,486,10488,4979313,10245.5
487,0,487,10489,4989802,10246.0
488,0,488,10490,5000292,10246.5
489,0,489,10491,5010783,10247.0
490,0,490,10492,5021275,10247.5
491,0,491,10493,5031768,10248.0
492,0,492,10494,5042262,10248.5
493,0,493,10495,5052757,10249.0
494,0,494,10496,5063253,10249.5
495,0,495,10497,5073750,10250.0
496,0,496,10498,5084248,10250.5
497,0,497,10499,5094747,10251.0
498,0,498,10500,5105247,10251.5
499,0,499,10501,5115748,10252.0
500,0,500,10502,5126250,10252.5
501,0,501,10503,5136753,10253.0
502,0,502,10504,5147257,10253.5
503,0,503,10505,5157762,10254.0
504,0,504,10506,5168268,10254.5
505,0,505,10507,5178775,10255.0
506,0,506,10508,5189283,10255.5
507,0,507,10509,5199792,10256.0
508,0,508,10510,5210302,10256.5
509,0,509,10511,5220813,10257.0
510,0,510,10512,5231325,10257.5
